Human,SARS-CoV2,Score
Q8TBF5,P0DTC3,0.028996
Q8TBF5,P0DTD3,0.06275
Q8TBF5,P0DTD2,0.000329
Q8TBF5,P0DTC4,0.051279
Q8TBF5,P0DTC7,0.026574
Q8TBF5,P0DTC6,0.000277
Q8TBF5,P0DTC5,0.040795
Q8TBF5,P0DTC2,0.033166
Q8TBF5,P0DTC1,0.035259
Q8TBF5,P0DTC9,0.00391
Q8TBF5,P0DTC8,0.000329
Q8TBF4,P0DTC4,0.005519
Q8TBF4,P0DTC7,8.7e-05
Q8TBF4,P0DTC5,0.005346
Q8TBF4,P0DTC3,0.007318
Q8TBF4,P0DTC2,0.005346
Q8TBF4,P0DTC1,0.060985
Q8TBF4,P0DTC9,0.008789
Q8TBF4,P0DTC8,0.000173
Q9NQ79,P0DTC3,0.005173
Q9NQ79,P0DTD3,0.000329
Q9NQ79,P0DTD2,0.022422
Q9NQ79,P0DTC4,0.00609
Q9NQ79,P0DTC7,0.015623
Q9NQ79,P0DTC6,0.027664
Q9NQ79,P0DTC5,0.005934
Q9NQ79,P0DTC2,0.018633
Q9NQ79,P0DTC1,0.02429
Q9NQ79,P0DTC9,0.00763
Q9NQ79,P0DTC8,0.000727
Q8IZF5,P0DTC3,0.001471
Q8IZF5,P0DTD2,0.003806
Q8IZF5,P0DTC4,0.001471
Q8IZF5,P0DTC7,0.010484
Q8IZF5,P0DTC6,0.00827
Q8IZF5,P0DTC5,0.00827
Q8IZF5,P0DTC2,0.006194
Q8IZF5,P0DTC1,0.00692
Q8IZF5,P0DTC9,0.000606
Q8IZF5,P0DTF1,0.006799
Q8TBF2,P0DTC3,0.003789
Q8TBF2,P0DTD2,0.000329
Q8TBF2,P0DTD3,0.000329
Q8TBF2,P0DTC5,0.004342
Q8TBF2,P0DTC4,0.004429
Q8TBF2,P0DTC7,0.000363
Q8TBF2,P0DTC6,0.000242
Q8TBF2,P0DTC2,0.004169
Q8TBF2,P0DTC1,0.012958
Q8TBF2,P0DTC9,0.00237
Q8TBF2,P0DTC8,0.000329
Q5H9L4,P0DTC2,0.011401
Q5H9L4,P0DTC5,0.004619
Q5H9L4,P0DTC4,0.004619
Q5H9L4,P0DTC7,5.2e-05
Q5H9L4,P0DTC3,0.004792
Q5H9L4,P0DTC1,0.014446
Q5H9L4,P0DTC9,0.001938
Q9NQ76,P0DTC3,0.033529
Q9NQ76,P0DTC4,0.055829
Q9NQ76,P0DTC7,8.7e-05
Q9NQ76,P0DTC5,0.033615
Q9NQ76,P0DTC2,0.045068
Q9NQ76,P0DTC1,0.022024
Q9NQ76,P0DTC9,0.023062
Q9NQ76,P0DTC8,0.022214
Q9NVL1,P0DTC1,0.015934
Q5QJ38,P0DTC1,0.020484
Q5QJ38,P0DTC9,0.005086
Q9NQ75,P0DTD2,0.000519
Q9NQ75,P0DTC4,0.026332
Q9NQ75,P0DTC7,0.000917
Q9NQ75,P0DTC6,0.00109
Q9NQ75,P0DTC5,0.000986
Q9NQ75,P0DTC3,0.000588
Q9NQ75,P0DTC2,0.020311
Q9NQ75,P0DTC1,0.030103
Q9NQ75,P0DTC9,0.026055
Q9NQ75,P0DTC8,0.025346
P20930,P0DTC5,0.002993
P20930,P0DTC3,0.004291
P20930,P0DTC4,0.002993
P20930,P0DTC7,0.000519
P20930,P0DTC2,0.002941
P20930,P0DTC1,0.043027
P20930,P0DTC9,0.013616
P20933,P0DTC3,0.006436
P20933,P0DTC5,0.006834
P20933,P0DTC9,0.003841
P20933,P0DTC4,0.006834
P20933,P0DTC7,5.2e-05
P20933,P0DTC2,0.008166
P20933,P0DTC1,0.028252
Q6P1M0,P0DTC3,0.023754
Q6P1M0,P0DTD3,0.043978
Q6P1M0,P0DTD2,0.007214
Q6P1M0,P0DTC4,0.038563
Q6P1M0,P0DTC7,0.027352
Q6P1M0,P0DTC6,0.00827
Q6P1M0,P0DTC5,0.03192
Q6P1M0,P0DTC2,0.029671
Q6P1M0,P0DTC1,0.047041
Q6P1M0,P0DTC9,0.013027
Q6P1M0,P0DTC8,0.000606
P20936,P0DTC6,0.028269
P20936,P0DTC5,0.015138
P20936,P0DTC3,0.002993
P20936,P0DTF1,0.012803
P20936,P0DTD3,0.000225
P20936,P0DTC4,0.020415
P20936,P0DTC7,0.026712
P20936,P0DTC2,0.033062
P20936,P0DTC1,0.04538
P20936,P0DTC9,0.025709
P20936,P0DTC8,0.01827
P20936,P0DTD2,0.026557
Q9NZV5,P0DTC3,0.007855
Q9NZV5,P0DTC4,0.009342
Q9NZV5,P0DTC7,0.00128
Q9NZV5,P0DTC5,0.009342
Q9NZV5,P0DTC2,0.007941
Q9NZV5,P0DTC1,0.026055
Q9NZV5,P0DTC9,0.007301
Q8NFX7,P0DTC3,0.022785
Q8NFX7,P0DTD3,0.06275
Q8NFX7,P0DTD2,0.000329
Q8NFX7,P0DTC4,0.062629
Q8NFX7,P0DTC7,0.025328
Q8NFX7,P0DTC6,0.000277
Q8NFX7,P0DTC5,0.033096
Q8NFX7,P0DTC2,0.047266
Q8NFX7,P0DTC1,0.039913
Q8NFX7,P0DTC9,0.021038
Q8NFX7,P0DTC8,0.019377
P83859,P0DTC5,0.000138
P83859,P0DTC3,0.000208
P83859,P0DTC2,0.016626
P83859,P0DTC4,0.021263
P83859,P0DTC7,5.2e-05
P83859,P0DTC1,0.018979
P83859,P0DTC9,0.021297
P83859,P0DTC8,0.021124
P24394,P0DTC3,0.010398
P24394,P0DTD3,0.000329
P24394,P0DTD2,0.018944
P24394,P0DTC4,0.011505
P24394,P0DTC7,0.023927
P24394,P0DTC6,0.022422
P24394,P0DTC5,0.013322
P24394,P0DTC2,0.028581
P24394,P0DTC1,0.023443
P24394,P0DTC9,0.003495
P24394,P0DTC8,0.000329
P24394,P0DTF1,0.008201
P30613,P0DTC3,0.004135
P30613,P0DTC2,0.015311
P30613,P0DTD2,0.006868
P30613,P0DTF1,0.005363
P30613,P0DTC4,0.004585
P30613,P0DTC7,0.01327
P30613,P0DTC6,0.013425
P30613,P0DTC5,0.009948
P30613,P0DTC1,0.055535
P30613,P0DTC9,0.018304
Q15573,P0DTD2,0.000329
Q15573,P0DTC2,0.00455
Q15573,P0DTC5,0.005069
Q15573,P0DTD3,0.000173
Q15573,P0DTC4,0.005138
Q15573,P0DTC7,0.000277
Q15573,P0DTC6,0.000208
Q15573,P0DTC3,0.006816
Q15573,P0DTC1,0.031159
Q15573,P0DTC9,0.054982
Q15573,P0DTC8,0.000329
Q15572,P0DTC2,0.009498
Q15572,P0DTC5,0.008443
Q15572,P0DTC4,0.008564
Q15572,P0DTC7,5.2e-05
Q15572,P0DTC3,0.009844
Q15572,P0DTC1,0.024342
Q15572,P0DTC9,0.003789
Q15572,P0DTC8,0.000121
P23919,P0DTC3,0.003823
P23919,P0DTC2,0.018546
P23919,P0DTD2,0.005813
P23919,P0DTD3,0.000329
