Human,SARS-CoV2,Score
Q96JC1,P0DTC6,0.067
Q96JC1,P0DTC2,1.395
Q96JC1,P0DTC7,0.27
Q96JC1,P0DTC5,0.91
Q96JC1,P0DTC4,0.953
Q96JC1,P0DTC3,0.554
Q96JC1,P0DTC1,0.623
Q96JC1,P0DTC8,0.021
Q96JC1,P0DTC9,0.344
Q96JC1,P0DTD2,0.072
Q96JC1,P0DTD3,0.248
Q9Y3U8,P0DTC2,0.23
Q9Y3U8,P0DTC7,0.003
Q9Y3U8,P0DTC5,0.214
Q9Y3U8,P0DTC4,0.221
Q9Y3U8,P0DTC3,0.261
Q9Y3U8,P0DTC1,1.679
Q9Y3U8,P0DTC9,0.397
Q9Y3U8,P0DTC8,0.007
Q9NQT5,P0DTF1,0.196
Q9NQT5,P0DTC2,0.438
Q9NQT5,P0DTC6,0.363
Q9NQT5,P0DTC7,0.346
Q9NQT5,P0DTC5,0.423
Q9NQT5,P0DTC4,0.234
Q9NQT5,P0DTC3,0.276
Q9NQT5,P0DTC1,2.938
Q9NQT5,P0DTC9,0.408
Q9NQT5,P0DTC8,0.007
Q9NQT5,P0DTD2,0.566
Q9NQT4,P0DTC2,0.612
Q9NQT4,P0DTC7,0.003
Q9NQT4,P0DTC5,0.247
Q9NQT4,P0DTC4,0.247
Q9NQT4,P0DTC3,0.301
Q9NQT4,P0DTC1,3.103
Q9NQT4,P0DTC9,3.43
P33527,P0DTC7,0.178
P33527,P0DTC5,0.295
P33527,P0DTC2,0.282
P33527,P0DTC4,0.295
P33527,P0DTC3,0.275
P33527,P0DTC1,1.568
P33527,P0DTC9,0.972
A3KN83,P0DTC2,1.007
A3KN83,P0DTC4,1.287
A3KN83,P0DTC1,1.657
A3KN83,P0DTC9,1.287
A3KN83,P0DTC8,1.287
O00203,P0DTF1,0.083
O00203,P0DTC7,0.68
O00203,P0DTC6,0.457
O00203,P0DTC5,0.708
O00203,P0DTC4,2.477
O00203,P0DTC3,0.527
O00203,P0DTC2,3.281
O00203,P0DTC1,1.602
O00203,P0DTC8,1.867
O00203,P0DTC9,2.089
O00203,P0DTD2,0.427
O00203,P0DTD3,0.185
Q9HAU0,P0DTC2,0.791
Q9HAU0,P0DTC6,0.037
Q9HAU0,P0DTC7,0.045
Q9HAU0,P0DTC5,0.286
Q9HAU0,P0DTC4,0.303
Q9HAU0,P0DTC3,0.393
Q9HAU0,P0DTC1,0.554
Q9HAU0,P0DTC9,0.502
Q9HAU0,P0DTC8,0.056
Q9HAU0,P0DTD2,0.046
Q9HAU0,P0DTD3,0.019
P61970,P0DTC7,0.591
P61970,P0DTC6,0.422
P61970,P0DTC5,0.672
P61970,P0DTC4,2.104
P61970,P0DTC3,0.632
P61970,P0DTC2,2.144
P61970,P0DTC1,2.097
P61970,P0DTC8,1.416
P61970,P0DTC9,1.899
P61970,P0DTD2,0.44
P61970,P0DTD3,0.371
P16435,P0DTF1,0.138
P16435,P0DTC7,1.928
P16435,P0DTC6,0.902
P16435,P0DTC5,1.95
P16435,P0DTC4,2.182
P16435,P0DTC3,1.371
P16435,P0DTC2,2.199
P16435,P0DTC1,3.992
P16435,P0DTC8,0.024
P16435,P0DTC9,0.786
P16435,P0DTD2,0.541
P16435,P0DTD3,2.424
Q9NZL9,P0DTC2,1.179
Q9NZL9,P0DTC6,0.014
Q9NZL9,P0DTC7,0.012
Q9NZL9,P0DTC5,0.212
Q9NZL9,P0DTC4,1.496
Q9NZL9,P0DTC3,0.197
Q9NZL9,P0DTC1,1.236
Q9NZL9,P0DTC8,1.284
Q9NZL9,P0DTC9,1.702
Q9NZL9,P0DTD2,0.014
Q8WTV0,P0DTC7,0.593
Q8WTV0,P0DTC6,0.147
Q8WTV0,P0DTC5,2.026
Q8WTV0,P0DTC4,2.619
Q8WTV0,P0DTC3,0.762
Q8WTV0,P0DTC2,3.236
Q8WTV0,P0DTC1,2.902
Q8WTV0,P0DTC8,0.518
Q8WTV0,P0DTC9,1.057
Q8WTV0,P0DTD2,0.13
Q8WTV0,P0DTD3,0.772
Q13724,P0DTC5,2.238
Q13724,P0DTC2,5.219
Q13724,P0DTC7,1.493
Q13724,P0DTC6,0.016
Q13724,P0DTC4,2.844
Q13724,P0DTC3,1.577
Q13724,P0DTC1,4.768
Q13724,P0DTC8,0.019
Q13724,P0DTC9,0.229
Q13724,P0DTD2,0.019
Q13724,P0DTD3,3.627
Q6ZRP7,P0DTC2,0.583
Q6ZRP7,P0DTC6,0.019
Q6ZRP7,P0DTC7,0.199
Q6ZRP7,P0DTC5,0.643
Q6ZRP7,P0DTC4,0.682
Q6ZRP7,P0DTC3,0.605
Q6ZRP7,P0DTC1,0.554
Q6ZRP7,P0DTC9,0.293
Q6ZRP7,P0DTC8,0.013
Q6ZRP7,P0DTD2,0.013
Q6ZRP7,P0DTD3,0.248
Q8N8E3,P0DTC6,0.031
Q8N8E3,P0DTC2,0.261
Q8N8E3,P0DTC7,0.033
Q8N8E3,P0DTC5,0.168
Q8N8E3,P0DTC4,0.172
Q8N8E3,P0DTC3,0.219
Q8N8E3,P0DTC1,0.085
Q8N8E3,P0DTC8,0.024
Q8N8E3,P0DTC9,0.118
Q8N8E3,P0DTD2,0.024
Q8N8E3,P0DTD3,0.01
Q9BZQ6,P0DTF1,0.155
Q9BZQ6,P0DTC2,0.621
Q9BZQ6,P0DTC6,0.543
Q9BZQ6,P0DTC7,0.505
Q9BZQ6,P0DTC5,0.351
Q9BZQ6,P0DTC4,0.199
Q9BZQ6,P0DTC3,0.385
Q9BZQ6,P0DTC1,3.1
Q9BZQ6,P0DTC9,0.518
Q9BZQ6,P0DTC8,0.013
Q9BZQ6,P0DTD2,0.378
Q9BZQ6,P0DTD3,0.015
Q9BSF4,P0DTC2,2.126
Q9BSF4,P0DTC6,0.016
Q9BSF4,P0DTC5,2.522
Q9BSF4,P0DTC7,1.71
